iter	Passed	Remaining
612	1619	1022
613	1622	1019
614	1624	1017
615	1627	1014
616	1629	1011
617	1632	1008
618	1634	1006
619	1637	1003
620	1639	1000
621	1644	999
622	1647	996
623	1649	993
624	1652	991
625	1654	988
626	1657	986
627	1660	983
628	1662	980
629	1665	977
630	1667	975
631	1670	972
632	1672	969
633	1675	967
634	1677	964
635	1680	961
636	1682	958
637	1684	955
638	1687	953
639	1689	950
640	1691	947
641	1694	944
642	1697	942
643	1699	939
644	1702	936
645	1704	933
646	1706	931
647	1709	928
648	1711	925
649	1713	922
650	1716	920
651	1719	917
652	1721	914
653	1723	911
654	1726	909
655	1728	906
656	1730	903
657	1733	900
658	1735	898
659	1738	895
660	1740	892
661	1742	889
662	1745	887
663	1747	884
664	1750	881
665	1752	878
666	1755	876
667	1757	873
668	1760	870
669	1762	868
670	1765	865
671	1767	862
672	1770	860
673	1772	857
674	1775	854
675	1777	851
676	1780	849
677	1782	846
678	1784	843
679	1787	841
680	1789	838
681	1792	835
682	1794	832
683	1797	830
684	1799	827
685	1801	824
686	1804	822
687	1806	819
688	1809	816
689	1811	813
690	1814	811
691	1816	808
692	1819	805
693	1821	803
694	1824	800
695	1826	797
696	1828	795
697	1831	792
698	1833	789
699	1836	786
700	1838	784
701	1840	781
702	1843	778
703	1845	775
704	1847	773
705	1850	770
706	1852	767
707	1855	765
708	1857	762
709	1860	759
710	1862	757
711	1865	754
712	1867	751
713	1870	749
714	1872	746
715	1874	743
716	1877	740
717	1879	738
718	1882	735
719	1884	733
720	1887	730
721	1890	727
722	1892	725
723	1895	722
724	1897	719
725	1900	717
726	1902	714
727	1905	711
728	1907	709
729	1910	706
730	1912	703
731	1914	701
732	1917	698
733	1919	695
734	1922	693
735	1924	690
736	1927	687
737	1930	685
738	1932	682
739	1934	679
740	1937	677
741	1939	674
742	1942	671
743	1944	669
744	1947	666
745	1949	663
746	1951	661
747	1954	658
748	1956	655
749	1959	653
750	1961	650
751	1963	647
752	1966	645
753	1968	642
754	1971	639
755	1973	637
756	1976	634
757	1977	631
758	1979	628
759	1981	625
760	1984	623
761	1986	620
762	1989	617
763	1991	615
764	1993	612
765	1996	609
766	1998	607
767	2001	604
768	2003	601
769	2006	599
770	2009	596
771	2012	594
772	2015	591
773	2017	589
774	2020	586
775	2023	584
776	2025	581
777	2028	578
778	2031	576
779	2033	573
780	2036	571
781	2039	568
782	2041	565
783	2044	563
784	2047	560
785	2050	558
786	2053	555
787	2056	553
788	2059	550
789	2062	548
790	2065	545
791	2068	543
